species,Linf,Winf,K,L50,M,Amat,Amax,Temperature
Trisopterus luscus,42.41,921,0.21,19.45,0.254,,9,14.3
Pollachius pollachius,102.14,12045,0.193,41.6,0.284,,8,14.3
